wall_time,ros_time_sec,event,mode,stable_gesture,nav_lin_x,nav_ang_z,out_lin_x,out_ang_z
2026-04-27T20:21:28,1777335688.584,pass_nav,IDLE,OpenPalm,0.2084,-0.5897,0.2084,-0.5897
2026-04-27T20:21:30,1777335690.584,correct_right,IDLE,PointRight,0.2200,0.1282,0.2200,-0.2218
2026-04-27T20:21:33,1777335693.133,pass_nav,IDLE,OpenPalm,0.2084,0.3846,0.2084,0.3846
2026-04-27T20:21:34,1777335694.482,correct_left,IDLE,PointLeft,0.2084,0.1282,0.2084,0.4782
2026-04-27T20:21:35,1777335695.932,pass_nav,IDLE,OpenPalm,0.2084,-0.2308,0.2084,-0.2308
2026-04-27T20:22:24,1777335744.532,estop_fist,IDLE,Fist,0.2084,0.3333,0.0000,0.0000
2026-04-27T20:22:26,1777335746.633,pass_nav,NAV,OpenPalm,0.2084,0.1282,0.2084,0.1282
2026-04-27T20:22:28,1777335748.182,speed_limit,NAV,ThumbUp,0.2200,-0.0256,0.0990,-0.0115
2026-04-27T20:22:28,1777335748.384,estop_fist,IDLE,Fist,0.1968,-0.0769,0.0000,0.0000
2026-04-27T20:22:38,1777335758.934,pass_nav,NAV,OpenPalm,0.2084,-0.0769,0.2084,-0.0769
2026-04-27T20:22:41,1777335761.733,correct_right,NAV,PointRight,0.2200,-0.0256,0.2200,-0.3756
2026-04-27T20:22:43,1777335763.582,pass_nav,NAV,OpenPalm,0.2200,0.3333,0.2200,0.3333
2026-04-27T20:22:44,1777335764.982,correct_left,NAV,PointLeft,0.2200,0.0000,0.2200,0.3500
2026-04-27T20:22:48,1777335768.082,pass_nav,NAV,OpenPalm,0.2084,-0.2821,0.2084,-0.2821
2026-04-27T20:22:49,1777335769.784,correct_right,NAV,PointRight,0.2200,-0.3333,0.2200,-0.6833
2026-04-27T20:22:52,1777335772.283,pass_nav,NAV,OpenPalm,0.1853,0.2821,0.1853,0.2821
2026-04-27T20:22:55,1777335775.183,speed_limit,NAV,ThumbUp,0.0000,-1.0000,0.0000,-0.4500
2026-04-27T20:22:55,1777335775.383,estop_fist,IDLE,Fist,0.0000,-1.0000,0.0000,0.0000
2026-04-27T20:23:05,1777335785.435,speed_limit,IDLE,ThumbUp,0.0000,-0.5385,0.0000,-0.2423
2026-04-27T20:23:05,1777335785.582,correct_left,IDLE,PointLeft,0.0000,-0.4359,0.0000,-0.0859
2026-04-27T20:23:06,1777335786.785,pass_nav,IDLE,OpenPalm,0.0000,-0.3333,0.0000,-0.3333
2026-04-27T20:23:07,1777335787.533,correct_right,IDLE,PointRight,0.0000,-0.2308,0.0000,-0.5808
2026-04-27T20:23:09,1777335789.633,correct_left,IDLE,PointLeft,0.0000,0.0000,0.0000,0.3500
2026-04-27T20:23:09,1777335789.982,pass_nav,IDLE,OpenPalm,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:23:11,1777335791.834,correct_left,IDLE,PointLeft,0.0000,0.0000,0.0000,0.3500
2026-04-27T20:23:12,1777335792.282,correct_right,IDLE,PointRight,0.0000,0.0000,0.0000,-0.3500
2026-04-27T20:23:19,1777335799.782,speed_limit,IDLE,ThumbUp,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:23:20,1777335800.033,pass_nav,IDLE,OpenPalm,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:23:21,1777335801.283,correct_left,IDLE,PointLeft,0.0000,0.0000,0.0000,0.3500
2026-04-27T20:23:27,1777335807.782,speed_limit,IDLE,ThumbUp,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:23:27,1777335807.932,pass_nav,IDLE,OpenPalm,0.0000,0.0000,0.0000,0.0000
